id,businessId,name,stage,startDate,closeDate,notes,userId,createdAt,updatedAt,lastActivityDate,nextActivityDate,responsibleId,hasRequest,bookingRequestId,dealId,lostReason,name
,cml8gykdj0002rbhpi1zmw5xm,5inco 2025|Jun-2025-I,Iniciación,6/4/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,6/4/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gykis0003rbhpkupteyuw,A la Chingada - Q1 2026|Feb-2026-I,Iniciación,2/21/2026,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,2/21/2026,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gymyy000qrbhp190qjaac,A su Mare 2025|Jan-2025-I,Iniciación,1/15/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,1/15/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cmk5xl8he0078hpexmt7vr4bj,Acai 2025|May-2025-I,Iniciación,5/14/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,5/14/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cmk5zix470332hpilsg4nbor7,Agape 7 s.a |Nov-2025-I,Iniciación,11/25/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,11/25/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gylbc0006rbhpkkmc59fa,Ahumados / Pa´la playa /  Smoked Mamma - Q1 2025|Mar-2025-I,Reunión,3/20/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,3/20/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cmk5xllfq00ckhpex99p43krt,Al Alma cafe - Q1 2026|Jan-2026-I,Iniciación,1/26/2026,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,1/26/2026,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gyldp0007rbhp60z6v9dr,Al estilo Nica - Q3 2025|Jun-2025-I,Reunión,6/27/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,6/27/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8g92s200t4nvhplnpx2kfy,Al Forno Pizzeria - Q3 2025|Sep-2025-I,Reunión,9/3/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,9/3/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cmk5zd4ci00pshpil2nsu73jb,Alamo Q2 2025|Apr-2025-I,Reunión,4/3/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,4/3/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cmk5z8u2r00whhp0tpv4z3uy4,Albrook Bowling |Feb-2026-I,Iniciación,2/4/2026,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,2/4/2026,,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,FALSE,,,,
,cmk5xkylt0036hpexu9q8zr6t,Aless Cleaning|Jan-2026-I,Iniciación,1/14/2026,,,user_38w3kMPJn8vNMvILexCx95wSjTP,1/14/2026,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gacpb019gnvhpcyux8k4c,Alitas Salvajes|Dec-2025-I,Iniciación,12/2/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,12/2/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gylkz000arbhpmaf6gbqx,Alma Libre|Sep-2025-I,Iniciación,9/9/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,9/9/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gyls5000crbhpoui0wl1u,Aloft - Q1 2026|Feb-2026-I,Iniciación,2/10/2026,,,user_38w3kMPJn8vNMvILexCx95wSjTP,2/10/2026,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gylx7000drbhpe31elh7n,Amado Coffee 2025|May-2025-I,Iniciación,5/22/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,5/22/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cmk5xlgqv00amhpexq9y5n8fr,Amala Wings - Q4 2025|Sep-2025-I,Iniciación,9/12/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,9/12/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gjxnh01oinvhpz7ccoja3,Amar by Playa Farallón - Q2 2026|Feb-2026-I,Iniciación,2/14/2026,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,2/14/2026,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cmk5zfi3i01owhpilxye4ty6i,Amarantto - Q2 2025|Apr-2025-I,Iniciación,4/11/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,4/11/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cmk5xljtm00bwhpextgisyjvz,Amarte wellness and care center |Sep-2025-I,Iniciación,9/12/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,9/12/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cmk5zesbv01eehpila7ws3l75,American Beauty|Dec-2025-I,Iniciación,12/3/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,12/3/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gym20000frbhporepfmih,American Pets - Q1 2026|Feb-2026-I,Reunión,2/3/2026,,,user_38w3kMPJn8vNMvILexCx95wSjTP,2/3/2026,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gym6q000hrbhp8h0mpn7l,Ammy Café |Jun-2025-I,Iniciación,6/11/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,6/11/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cmk5xlbu0008mhpexjjm6d1l0,Amura Nails - Q1 2026|Jan-2026-I,Iniciación,1/9/2026,,,user_38w3kMPJn8vNMvILexCx95wSjTP,1/9/2026,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cmk5zbqh3005chpil29j3o0b5,Angelicius Estetic Center |Jan-2025-I,Reunión,1/2/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,1/2/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8g70ps002tnvhprc376lbe,Anna Lisa Volpe Medical Spa|Jan-2025-I,Reunión,1/2/2025,,,user_38wAaycls2JvlpO8aN0PymrN8si,1/2/2025,,,,user_38wAaycls2JvlpO8aN0PymrN8si,FALSE,,,,
