duplicate
"BOCAS DEL TORO,INVALIDO,INVALIDO"
"BOCAS DEL TORO,BOCAS DEL TORO,INVALIDO"
"BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO (CABECERA)"
"BOCAS DEL TORO,BOCAS DEL TORO,BASTIMENTOS"
"BOCAS DEL TORO,BOCAS DEL TORO,CAUCHERO"
"BOCAS DEL TORO,BOCAS DEL TORO,PUNTA LAUREL"
"BOCAS DEL TORO,BOCAS DEL TORO,TIERRA OSCURA"
"BOCAS DEL TORO,CHANGUINOLA,INVALIDO"
"BOCAS DEL TORO,CHANGUINOLA,CHANGUINOLA (CABECERA)"
"BOCAS DEL TORO,CHANGUINOLA,ALMIRANTE"
"BOCAS DEL TORO,CHANGUINOLA,GUABITO"
"BOCAS DEL TORO,CHANGUINOLA,TERIBE"
"BOCAS DEL TORO,CHANGUINOLA,VALLE DEL RISCO"
"BOCAS DEL TORO,CHANGUINOLA,EL EMPALME"
"BOCAS DEL TORO,CHANGUINOLA,LAS TABLAS"
"BOCAS DEL TORO,CHIRIQUI GRANDE,INVALIDO"
"BOCAS DEL TORO,CHIRIQUI GRANDE,CHIRIQUI GRANDE (CABECERA)"
"BOCAS DEL TORO,CHIRIQUI GRANDE,MIRAMAR"
"BOCAS DEL TORO,CHIRIQUI GRANDE,PUNTA PEÑA"
"BOCAS DEL TORO,CHIRIQUI GRANDE,PUNTA ROBALO"
"BOCAS DEL TORO,CHIRIQUI GRANDE,RAMBALA"
"BOCAS DEL TORO,CHIRIQUI GRANDE,BAJO DEL CEDRO"
"BOCAS DEL TORO,ALMIRANTE,ALMIRANTE (CABECERA)"
"BOCAS DEL TORO,ALMIRANTE,BARRIADA GUAYMI"
"BOCAS DEL TORO,ALMIRANTE,BARRIO FRANCES"
"BOCAS DEL TORO,ALMIRANTE,NANCE DEL RISCO"
"BOCAS DEL TORO,ALMIRANTE,VALLE DE AGUAS ARRIBA"
"BOCAS DEL TORO,ALMIRANTE,VALLE DE RISCO"
"COMARCA KUNA YALA,INVALIDO,INVALIDO"
"COMARCA KUNA YALA,COMARCA KUNA YALA,INVALIDO"
"COMARCA KUNA YALA,COMARCA KUNA YALA,NARGANA (CABECERA)"
"COMARCA KUNA YALA,COMARCA KUNA YALA,AILIGANDI"
"COMARCA KUNA YALA,COMARCA KUNA YALA,PUERTO OBALDIA"
"COMARCA KUNA YALA,COMARCA KUNA YALA,TUBUALA"
"COMARCA EMBERA-WOUNAAN,INVALIDO,INVALIDO"
"COMARCA EMBERA-WOUNAAN,CEMACO,INVALIDO"
"COMARCA EMBERA-WOUNAAN,CEMACO,CIRILO GUAINORA (CABECERA)"
"COMARCA EMBERA-WOUNAAN,CEMACO,LAJAS BLANCAS"
"COMARCA EMBERA-WOUNAAN,CEMACO,MANUEL ORTEGA"
"COMARCA EMBERA-WOUNAAN,SAMBU,INVALIDO"
"COMARCA EMBERA-WOUNAAN,SAMBU,RIO SABALO"
"COMARCA EMBERA-WOUNAAN,SAMBU,JINGURUDO"
"COMARCA NGÃBE-BUGLE,INVALIDO,INVALIDO"
"COMARCA NGÃBE-BUGLE,BESIKO,INVALIDO"
"COMARCA NGÃBE-BUGLE,BESIKO,SOLOY (CABECERA)"
